Time (unixtime),CURRENT_VELOCITY,CURRENT_POSITION,REMAINING_STEPS,STACK_VOLTAGE,EXTERNAL_VOLTAGE,CURRENT_CONSUMPTION,CHECKSUM
1594905250.9510415,0,0,0,363,12037,225,0x39
1594905250.9639144,0,0,0,363,12011,225,0x34
1594905250.9772692,0,0,0,363,12029,225,0x3d
1594905250.9901414,0,0,0,372,12037,225,0x34
1594905251.0030694,0,0,0,354,12020,225,0x3f
1594905251.0158339,0,0,0,363,12029,225,0x3f
1594905251.0287626,0,0,0,363,12020,225,0x3c
1594905251.0417862,0,0,0,363,12002,225,0x3d
1594905251.0545084,0,0,0,363,12011,225,0x39
1594905251.0671477,0,0,0,363,12020,225,0x37
1594905251.081184,0,0,0,363,12020,225,0x7
1594905251.0939057,0,0,0,363,12002,225,0x32
1594905251.1068654,0,0,0,372,12020,225,0x3b
1594905251.1199224,0,0,0,363,12037,225,0x31
1594905251.1321871,0,0,0,363,12011,225,0x3e
1594905251.1454754,0,0,0,363,12020,225,0x31
1594905251.158357,0,0,0,363,12011,225,0xc
1594905251.1714575,0,0,0,372,12011,225,0x35
1594905251.186431,0,0,0,363,12020,225,0xa
1594905251.1993687,0,0,0,363,12011,225,0x3a
1594905251.2120368,0,0,0,363,12037,225,0x39
1594905251.2256174,0,0,0,363,12029,225,0x3b
1594905251.238908,0,0,0,363,12029,225,0x2
1594905251.2519038,0,0,0,363,12011,225,0x35
1594905251.2650652,0,0,0,372,12037,225,0x35
1594905251.2788374,0,0,0,363,12002,225,0x36
1594905251.2916787,0,0,0,363,12020,225,0x37
1594905251.3042786,0,0,0,363,12029,225,0x36
1594905251.3171215,0,0,0,372,12020,225,0x31
1594905251.330109,0,0,0,363,12020,225,0xb
1594905251.3431153,0,0,0,354,12020,225,0x35
1594905251.3580713,0,0,0,363,12029,225,0x31
1594905251.3710647,0,0,0,363,12037,225,0x35
1594905251.3845224,0,0,0,363,12020,225,0x3d
1594905251.397301,0,0,0,372,12002,225,0xc
1594905251.4102774,0,0,0,363,12020,225,0x30
1594905251.4233506,0,0,0,363,12020,225,0x36
1594905251.436428,0,0,0,363,12029,225,0x5
1594905251.4496787,0,0,0,363,12011,225,0x36
1594905251.4625177,0,0,0,363,12011,225,0x35
1594905251.4755497,0,0,0,372,12020,225,0x3a
1594905251.4880714,0,0,0,363,12020,225,0x35
1594905251.5005333,0,0,0,363,12037,225,0x36
1594905251.5130103,0,0,0,372,12011,225,0x34
1594905251.5254016,0,0,0,372,12020,225,0x32
1594905251.5377758,0,0,0,363,12029,225,0x36
1594905251.5501192,0,0,0,363,12011,225,0x3a
1594905251.5639186,0,0,0,363,12020,225,0x35
1594905251.5765548,0,0,0,363,12020,225,0x3b
1594905251.5899143,0,0,0,363,12046,225,0x38
1594905251.6022758,0,0,0,363,12037,225,0x39
1594905251.6147842,0,0,0,363,12020,225,0x39
1594905251.6274686,0,0,0,363,12020,225,0x3c
1594905251.640237,0,0,0,372,12011,225,0x5
1594905251.6526153,0,0,0,363,12037,225,0x35
1594905251.6674,0,0,0,363,12020,225,0x0
1594905251.6807086,0,0,0,354,12029,225,0x39
1594905251.6935396,0,0,0,363,12020,225,0x36
1594905251.7062163,0,0,0,372,12029,225,0x3d
1594905251.718406,0,0,0,354,12020,225,0xb
